,City,Country,Latitude,Longitude,Max Temperature,Cloudiness,Wind Speed,Humidity,Date
359,Beijing,CN,39.9075,116.3972,266.09,0,2.05,29,1643833209
360,Nyköping,SE,58.753,17.0079,269.07,75,0.45,87,1643833466
361,Lubao,PH,14.9167,120.55,299.16,49,2.43,79,1643833467
362,Manjakandriana,MG,-18.9167,47.8,290.98,96,2.0,93,1643833467
363,Cururupu,BR,-1.8283,-44.8683,298.71,98,2.31,88,1643833467
364,San-Pédro,CI,4.7485,-6.6363,299.79,100,3.53,80,1643833467
365,Tevriz,RU,57.509,72.4042,266.82,100,3.74,85,1643833468
366,Mayumba,GA,-3.432,10.6554,298.53,100,2.83,90,1643833468
367,Kieta,PG,-6.2167,155.6333,299.84,100,3.26,81,1643833468
368,Taoudenni,ML,22.6783,-3.9836,294.03,3,5.17,16,1643833469
369,Sibolga,ID,1.7427,98.7792,298.2,99,1.22,80,1643833362
370,Guilin,CN,25.2819,110.2864,277.21,90,2.74,87,1643833469
371,Saint-Louis,SN,16.3333,-15.0,302.65,89,5.02,9,1643833469
372,Turaif,SA,31.6725,38.6637,282.29,0,9.26,49,1643833470
373,Calvinia,ZA,-31.4707,19.776,291.1,72,3.2,82,1643833470
374,Xinzhi,CN,36.4989,111.7047,270.29,0,1.44,59,1643833470
375,Nemuro,JP,43.3236,145.575,268.15,73,4.53,76,1643833471
376,Benguela,AO,-12.5763,13.4055,297.17,48,2.71,72,1643833471
377,Aswān,EG,24.0934,32.907,289.65,0,2.1,35,1643833471
378,Vostok,RU,46.4856,135.8833,252.48,100,1.61,99,1643833472
379,Al Bardīyah,LY,31.7561,25.0865,285.87,100,5.19,63,1643833472
380,Mandiana,GN,10.6333,-8.6833,298.5,19,1.98,9,1643833472
381,Tezu,IN,27.9167,96.1667,285.67,92,1.89,63,1643833473
382,Oruzgan,AF,32.8333,66.0,273.94,0,3.17,70,1643833473
383,Bintulu,MY,3.1667,113.0333,296.38,20,1.54,100,1643833241
384,Vardø,NO,70.3705,31.1107,271.14,75,5.66,74,1643833473
385,Oktyabr'skoye,RU,43.0645,44.7417,271.23,60,2.0,100,1643833474
386,Plettenberg Bay,ZA,-34.0527,23.3716,293.83,100,2.38,94,1643833474
387,Vilcún,CL,-38.65,-72.2333,297.56,0,3.73,27,1643833474
388,Bridlington,GB,54.0831,-0.1919,283.25,100,6.89,91,1643833475
389,Haldensleben I,DE,52.2891,11.4098,277.88,24,3.65,86,1643833475
390,Ribeira Grande,PT,38.5167,-28.7,287.37,20,3.6,72,1643833267
391,Lodja,CD,-3.4833,23.4333,294.22,100,0.81,98,1643833475
392,Sinnamary,GF,5.3833,-52.95,300.07,37,5.17,76,1643833430
393,Navolato,MX,24.7672,-107.6944,297.39,86,1.92,19,1643833476
394,Quattro Castella,IT,44.635,10.4743,283.31,0,2.14,57,1643833476
395,Kapustin Yar,RU,48.5831,45.7372,274.27,100,5.72,92,1643833476
396,Marapanim,BR,-0.7175,-47.6997,298.5,82,3.45,92,1643833477
397,Biak,ID,-0.9131,122.8766,297.61,100,2.5,78,1643833477
398,Alice Springs,AU,-23.7,133.8833,291.9,100,3.6,88,1643833201
399,Saint-Augustin,CA,51.226,-58.6502,268.98,100,11.18,81,1643833477
400,Rome,US,43.2128,-75.4557,279.63,0,4.12,59,1643833538
401,Abhā,SA,18.2164,42.5053,287.29,0,2.06,55,1643833538
402,Danjiangkou,CN,32.5428,111.5086,275.14,77,0.92,59,1643833538
403,Manavālakurichi,IN,8.1333,77.3,300.2,4,2.36,72,1643833538
404,Waddān,LY,29.1614,16.139,282.81,14,6.16,59,1643833539
405,Zaykovo,RU,57.5613,62.7568,263.22,100,2.62,95,1643833539
406,Gravdal,NO,68.1214,13.5031,270.09,0,4.63,59,1643833539
407,Avera,US,33.194,-82.5271,291.88,82,3.43,65,1643833509
408,Rauma,FI,61.1272,21.5113,261.17,67,0.9,98,1643833540
409,Kimbe,PG,-5.5502,150.1429,296.95,100,1.86,96,1643833540
410,Campbell River,CA,50.0163,-125.2446,275.89,100,2.06,100,1643833540
411,Harper,LR,4.375,-7.7169,299.46,82,3.66,78,1643833541
412,Oranjestad,AW,12.524,-70.027,299.45,0,9.44,80,1643833526
413,San Julián,MX,21.0167,-102.1667,297.15,0,6.55,19,1643833541
414,Cayambe,EC,0.05,-78.1333,292.74,82,0.55,62,1643833541
415,Mahon,ES,39.8885,4.2658,283.46,0,3.09,93,1643833542
416,Ostrovnoy,RU,68.0531,39.5131,266.99,100,7.02,87,1643833542
417,Lavrentiya,RU,65.5833,-171.0,255.43,1,9.08,69,1643833542
418,Basoko,CD,1.2391,23.616,298.03,100,1.54,64,1643833543
419,Jishou,CN,28.3167,109.7167,275.21,100,0.75,93,1643833543
420,Pinega,RU,64.7001,43.3936,260.55,99,1.3,98,1643833543
421,Iqaluit,CA,63.7506,-68.5145,260.0,100,5.81,78,1643833523
422,Acaraú,BR,-2.8856,-40.12,301.37,51,6.11,69,1643833544
423,Nouadhibou,MR,20.931,-17.0347,295.14,2,6.69,60,1643833544
424,Charleston,US,32.7766,-79.9309,294.24,0,3.13,70,1643833251
425,Gadag,IN,15.4167,75.6167,293.94,0,2.86,54,1643833545
426,Port Elizabeth,ZA,-33.918,25.5701,295.43,75,4.63,94,1643833545
427,Phan Thiet,VN,10.9333,108.1,295.32,3,3.39,86,1643833546
428,Portland,US,45.5234,-122.6762,280.62,100,0.45,93,1643833456
429,Madang,PG,-5.2246,145.7966,296.61,100,2.03,89,1643833546
430,Constitución,CL,-35.3333,-72.4167,292.34,8,3.63,67,1643833505
431,Whitehorse,CA,60.7161,-135.0538,251.58,75,3.6,71,1643833315
432,Pāvugada,IN,14.1,77.2667,294.33,1,3.09,51,1643833546
433,Pacific Grove,US,36.6177,-121.9166,290.61,0,1.34,27,1643833547
434,Muswellbrook,AU,-32.2667,150.9,289.44,100,2.14,93,1643833547
435,Novoasbest,RU,57.7422,60.2877,261.83,27,2.29,95,1643833547
436,Miranda,CO,3.2499,-76.2281,302.22,41,0.81,65,1643833548
437,Martinsville,US,36.6915,-79.8725,286.19,0,0.0,47,1643833548
438,Gladstone,AU,-23.85,151.25,296.36,40,2.57,94,1643833548
439,Uzhhorod,UA,48.6167,22.3,274.1,100,0.89,100,1643833549
440,Sioux Lookout,CA,50.1001,-91.917,251.36,100,3.6,64,1643833549
441,Ibrā’,OM,22.6906,58.5334,293.05,0,4.06,46,1643833549
442,Makkah al Mukarramah,SA,21.4267,39.8261,294.7,0,0.37,67,1643833548
443,Kamiiso,JP,41.8167,140.65,269.11,97,3.83,90,1643833550
444,Kruszwica,PL,52.6756,18.3313,274.44,17,5.13,89,1643833550
445,Najrān,SA,17.4924,44.1277,287.51,1,1.51,38,1643833550
446,Sept-Îles,CA,50.2001,-66.3821,269.85,100,0.89,90,1643833551
447,George,ZA,-33.963,22.4617,293.9,100,1.03,94,1643833551
448,Monticello,US,45.3055,-93.7941,259.79,0,5.14,57,1643833551
449,Winnemucca,US,40.973,-117.7357,275.18,20,5.14,32,1643833356
450,Korla,CN,41.7597,86.1469,268.52,17,2.3,57,1643833612
451,Husavik,IS,66.0449,-17.3389,269.1,98,2.31,89,1643833612
452,Santa Cruz de la Sierra,BO,-17.8,-63.1667,306.18,40,6.17,55,1643833607
453,Caravelas,BR,-17.7125,-39.2481,300.27,100,3.23,79,1643833612
454,Rongcheng,CN,30.634,117.8517,275.13,100,1.14,100,1643833613
455,Itarema,BR,-2.9248,-39.9167,301.19,50,5.8,70,1643833613
456,Marrakesh,MA,31.6315,-8.0083,292.19,91,1.54,30,1643833613
457,Kamenka,RU,51.3223,42.7678,273.57,100,3.02,99,1643833614
458,Awjilah,LY,29.1081,21.2869,285.5,72,6.15,58,1643833614
459,Cuamba,MZ,-14.8031,36.5372,294.57,87,1.05,90,1643833614
460,Priiskovyy,RU,51.9333,116.6333,239.95,54,0.53,100,1643833615
461,Kudahuvadhoo,MV,2.6708,72.8944,300.34,3,3.55,75,1643833615
462,San Patricio,US,28.017,-97.5169,299.53,100,7.06,67,1643833615
463,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,299.27,100,3.31,85,1643833388
464,Dunedin,NZ,-45.8742,170.5036,286.65,100,5.21,94,1643833616
465,Nishihara,JP,26.1842,127.7558,293.75,75,2.06,95,1643833616
466,Wieluń,PL,51.221,18.5696,274.2,99,6.67,92,1643833616
467,Verchères,CA,45.7834,-73.3492,278.35,100,3.09,76,1643833617
468,Likasi,CD,-10.9814,26.7333,290.13,100,1.06,96,1643833617
469,Hobyo,SO,5.3505,48.5268,298.74,84,8.67,74,1643833617
470,Sirte,LY,31.2089,16.5887,286.57,71,12.06,73,1643833617
471,Seoul,KR,37.5683,126.9778,267.93,0,1.03,71,1643833486
472,Mitchell,US,43.7094,-98.0298,261.34,0,1.79,46,1643833618
473,Pangody,RU,65.85,74.4859,250.34,93,5.41,97,1643833552
474,Shellbrook,CA,53.2168,-106.4011,246.72,6,2.92,86,1643833618
475,Pinhão,BR,-25.6956,-51.6597,298.22,69,1.31,61,1643833619
476,Caucasia,CO,7.9865,-75.1935,305.54,61,2.08,48,1643833619
477,Margate,GB,51.3813,1.3862,282.42,100,1.34,81,1643833619
478,Lichinga,MZ,-13.3128,35.2406,292.2,75,3.09,94,1643833619
479,Vao,NC,-22.6667,167.4833,298.57,100,7.76,81,1643833620
480,Deep River,CA,46.1001,-77.4995,274.23,100,0.81,99,1643833620
481,Boa Vista,BR,2.8197,-60.6733,307.14,40,7.2,36,1643833508
482,Yakima,US,46.4665,-120.6678,274.62,0,0.0,55,1643833620
483,Soyo,AO,-6.1349,12.3689,299.07,59,4.83,75,1643833621
484,Skellefteå,SE,64.7507,20.9528,261.35,100,2.57,66,1643833621
485,Kaitangata,NZ,-46.2817,169.8464,286.4,100,3.03,95,1643833614
486,Hamilton,US,39.1834,-84.5333,280.37,100,0.45,93,1643833500
487,Nuwara Eliya,LK,6.9708,80.7829,283.83,23,0.74,91,1643833622
488,Kostanay,KZ,53.1667,63.5833,266.52,100,3.45,96,1643833622
489,Mahon,ES,39.8885,4.2658,283.46,0,3.09,93,1643833542
490,Udachny,RU,66.4167,112.4,237.28,45,1.03,100,1643833622
491,Bandarbeyla,SO,9.4942,50.8122,297.3,27,8.36,72,1643833343
492,Luorong,CN,24.4058,109.6086,278.12,99,3.7,85,1643833623
493,Nome,US,64.5011,-165.4064,260.43,53,9.35,76,1643833598
494,Liberal,US,37.0431,-100.921,263.3,100,9.77,85,1643833486
495,Cabedelo,BR,-6.9811,-34.8339,302.52,32,6.02,68,1643833367
496,Strezhevoy,RU,60.7333,77.5889,267.14,100,3.93,93,1643833336
497,Progreso,MX,21.2833,-89.6667,306.21,0,3.97,55,1643833624
498,Pustoshka,RU,56.3355,29.369,267.62,100,0.78,98,1643833624
499,Abū Zabad,SD,12.35,29.25,297.52,24,3.93,18,1643833538
500,Luganville,VU,-15.5333,167.1667,299.92,52,1.62,85,1643833684
501,Chupa,RU,66.27,33.0549,263.14,99,3.06,95,1643833685
502,Wajima,JP,37.4,136.9,277.86,100,9.64,65,1643833685
503,Akdepe,TM,42.0551,59.3788,274.2,1,4.32,81,1643833685
504,Kruisfontein,ZA,-34.0033,24.7314,294.2,100,3.67,91,1643833686
505,Okha,RU,53.5739,142.9478,255.91,99,11.64,91,1643833686
506,Fort Frances,CA,48.5999,-93.4003,253.74,75,2.68,62,1643833686
